NATASHA AHMED,SAN JOSE,Admin influenza virus vac,no,,1,0.35017014
RICHARD A. SILVER,SAN JOSE,Chiropractic manipulation,no,,4,28.446487
GALINA NAYFELD,SAN FRANCISCO,Chiropractic manipulation,no,,5,38.446487
NOEL M. CHIVERS,SAN JOSE,Chiropractic manipulation,no,,5,28.446487
ANDREA G. ROBERTS,REDWOOD CITY,Emergency dept visit,no,,,367.51685
JOSEPH L. CHAN,OAKLAND,Psy dx interview,yes,,,-97.26416
ELWOOD L. KRONICK,WALNUT CREEK,Cancer screen w pelvic of breast exam,no,,,78.860641
VICTORIA M. SNYDER,CONCORD,Psy dx interview,no,,,213.83733
MENG S. LEE,SAN FRANCISCO,Eye exam & treatment,yes,,,-25.923874
HEATHER A. COLBERT,SAN JOSE,Psy dx interview,no,,,1023.3347
LUHUA CHENG,SAN JOSE,X-ray exam of lower spine,no,,,244.41878
CHRISTOPHER W. BARTON,SAN FRANCISCO,Emergency dept visit,no,,,353.86298
DAVID L. BEGERT,SANTA ROSA,Pneumococcal vaccine,no,,,50.566048
RICHARD LEE,FREMONT,Pneumococcal vaccine,yes,,,-15.307869
LAWRENCE L. CHAO,SAN FRANCISCO,Pneumococcal vaccine,yes,,,-0.30786896
CAROLINE G. HELLINGS,SANTA ROSA,Pneumococcal vaccine,no,,,50.566048
MICHAEL D. HOPE,SAN FRANCISCO,Chest x-ray,no,,,145.57196
EUGENE KIM,MOUNTAIN VIEW,Remove impacted ear wax,no,,,78.400818
RICHARD D. BALDWIN,SAN FRANCISCO,Medication management,no,,,294.04007
CANDICE P. MCNEIL,PLEASANTON,Emergency dept visit,no,,,604.09265
BRADLEY MACDOUGALL,PALO ALTO,Therapeutic exercises,no,,,59.834877
KEVIN M. WONG,DALY CITY,Admin influenza virus vac,yes,,,0.35017014
LISA D. GREEN,PORTOLA VALLEY,Pt evaluation,no,,,82.487328
LLOYD J. KING,SAN FRANCISCO,Medication management,no,,,191.76666
MARIA L. MARTINS,EMERYVILLE,Emergency dept visit,no,,,520.01685
KENNETH P. MOSES,OAKLAND,Emergency dept visit,no,,,317.80017
JOHN W. COPELAND,ANTIOCH,Urinalysis nonauto w/o scope,yes,,,10.933967
WILLIS HUANG,SAN JOSE,X-ray exam of abdomen,no,,,48.725479
TINA R. SINGH,FAIRFIELD,Admin influenza virus vac,no,,,44.873196
JOHN D. ROUSE,SAN FRANCISCO,Medication management,no,,,296.62018
SEAN WORMUTH,VALLEJO,Emergency dept visit,yes,,,82.516846
LOUIS A. DIAZ,CONCORD,Psy dx interview,no,,,142.51231
ANITA GILLIAM,PALO ALTO,Tissue exam by pathologist,no,,,127.14047
BARBARA ERNY,SUNNYVALE,Eye exam new patient,no,,,285.94617
SHAWN R. VAN BOCKEL,SAN JOSE,Chest x-ray,no,,,40.471527
ASSOCIATED PATHOLOGY MEDICAL GROUP,LOS GATOS,Tissue exam by pathologist,no,,,58.069344
SEAN Y. HAUGH,SAN JOSE,Psy dx interview,no,,,477.57837
MICHAEL F. SACCO,CONCORD,X-ray exam of shoulder,no,,,59.263397
PHILIP K. HURST,SAN JOSE,Emergency dept visit,no,,,303.5
PAMELA DANIELS,SAN JOSE,Chiropractic manipulation,no,,,45.446487
