LINDA H. FRESCO,MENLO PARK,20,31,,13,68,fresco
LAKSHMI MYNENI,MOUNTAIN VIEW,28,25,,2,15,myneni
NELSON BUNIN,ALBANY,46,25,,12,58,bunin
LILLIAN LEONG,WALNUT CREEK,10,14,,-1,7,leong
RONG SHEN,SAN FRANCISCO,15,45,,15,84,shen
JACKIE A. BOLDS,NEWARK,30,13,,-2,4,bolds
TERESA CHENG,SUNNYVALE,15,33,,13,68,cheng
KIMBERELY CARLSON,MOUNTAIN VIEW,14,25,,12,58,carlson
RATNASOTHY S. RAJAH,SAN LEANDRO,49,68,,6,30,rajah
MICHAEL D. HOLMES,SEBASTOPOL,39,46,,12,58,holmes
MICHELLE E. GUY,SAN FRANCISCO,14,17,,-1,7,guy
KHALIQ A. SHAH,SANTA CLARA,21,13,,11,50,shah
RALEY'S PHARMACY,PETALUMA,,53,,5,26,raley's pharmacy
CHIU J. YUAN,SAN JOSE,49,85,,17,94,yuan
CHUNG-YING A. CHEN,SUNNYVALE,15,19,,11,50,chen
MARCO PAVESI,FREMONT,37,49,,16,90,pavesi
JONATHAN L. BARASH,SAN FRANCISCO,,18,,-2,4,barash
MARLON DECASTRO,SANTA ROSA,17,81,,15,84,decastro
KATHLEEN WISHART,NAPA,,13,,8,34,wishart
JULIA S. HOHMAN,WALNUT CREEK,14,37,,14,76,hohman
DHANU KAPOOR,SANTA CLARA,24,14,,10,43,kapoor
MARIA ANDRAE-HAMMOND,ORINDA,7,31,,2,15,andrae-hammond
ASHWANI K. BINDAL,FREMONT,37,79,,17,94,bindal
THOMAS MCDONALD,PALO ALTO,,16,,10,43,mcdonald
LESLEY A. DEBRIER,NOVATO,13,13,,-1,7,debrier
XIAOGUANG HUANG,OAKLAND,32,538,1010,12,58,huang
JEANETTE M. WILLIAMS,CALISTOGA,13,38,,2,15,williams
RICHARD M. GERBER,SAN FRANCISCO,34,76,,4,23,gerber
ALVIN D. WONG,SAN FRANCISCO,28,61,,5,26,wong
BARBARA H. KOSTICK,FREMONT,43,39,,14,76,kostick
HARVEY SACHS,SAN JOSE,47,21,,9,37,sachs
PAUL KIM,DUBLIN,19,12,,9,37,kim
ANJALI CHANANA,FAIRFIELD,23,15,,11,50,chanana
CHERYL GOLD,PALO ALTO,31,39,,13,68,gold
LAURA DALTON,BENICIA,15,17,,0,11,dalton
VIKTOR NOVIKOV,DANVILLE,9,13,,9,37,novikov
PHUONG D. DANG,OAKLAND,39,92,,16,90,dang
LYNDA A. MACKIN,BELMONT,20,16,,0,11,mackin
TINA R. SINGH,FAIRFIELD,13,12,,-4,3,singh
PAUL JEMELIAN,SAN MATEO,24,20,,11,50,jemelian
GARY FUJIMOTO,PALO ALTO,35,36,,5,26,fujimoto
ABRAHAM C. CABEBE,SAN JOSE,34,87,,15,84,cabebe
MICHAEL SU,SUNNYVALE,18,23,,11,50,su
VIJAY THUKRAL,MILPITAS,38,28,,1,13,thukral
PATRICK J. KEARNS,MOUNTAIN VIEW,37,22,,-1,7,kearns
ERNEST L. BONNER,ALAMEDA,39,72,,14,76,bonner
STEPHEN M. KNOX,SAN FRANCISCO,29,45,,3,19,knox
MEGAN L. ANCKER,FOSTER CITY,33,400,,20,99,ancker
ERIC G. LIM,SAN FRANCISCO,21,328,,9,37,lim
LINDA C. LU,LOS GATOS,13,38,,4,23,lu
ARSEEN E. SOLIMAN,CONCORD,15,168,,7,32,soliman
VIVEK JAIN,SANTA CLARA,16,13,,9,37,jain
FREDERICK J. HASS,SAN RAFAEL,50,39,,14,76,hass
DAPHNE MILLER,SAN FRANCISCO,21,11,,12,58,miller
KATHLEEN L. HORAN,SANTA ROSA,38,23,,-10,1,horan
NATHANIEL W. GLEASON,SAN FRANCISCO,6,12,,-2,4,gleason
MIDORI NISHIMURA,MOUNTAIN VIEW,19,17,,12,58,nishimura
NOB HILL GENERAL STORE INC,SAN JOSE,,18,,12,58,nob hill general store inc
"GARFIELD BEACH CVS, L.L.C.",SAN RAFAEL,,185,,19,99,"garfield beach cvs, l.l.c."
SHU WING CHAN,SAN FRANCISCO,46,70,,6,30,chan
SUE J. KNIGHT,SAN RAMON,31,95,,16,90,knight
PAULINE SIAO,REDWOOD CITY,17,13,,9,37,siao
JAMES F. LEONI,PETALUMA,31,278,,18,97,leoni
CHARLES J. ANTONINI,DALY CITY,38,94,340,11,50,antonini
GAIL PYLE,PALO ALTO,18,23,,11,50,pyle
JAMES A. DAVIS,SAN FRANCISCO,41,100,,7,32,davis
MARY JANE HUTCHINS,LOS GATOS,38,15,,12,58,hutchins
DAVID COHEN,SAN FRANCISCO,54,74,,6,30,cohen
ARTHUR POLUSSA,LOS GATOS,35,27,,13,68,polussa
KUTTANCHERI REMA,FREMONT,23,17,,10,43,rema
EVAN SEEVAK,OAKLAND,18,45,,2,15,seevak
ROBERT J. DEITZ,SAN FRANCISCO,,45,,3,19,deitz
BEATTY H. RAMSAY,SAN MATEO,36,77,,16,90,ramsay
RAMIRO ZARATE,NAPA,,11,,8,34,zarate
JOLINE HEO,BRENTWOOD,7,25,,-1,7,heo
RACHEL M. SEAMAN,MENLO PARK,10,52,,15,84,seaman
SAYEMA A. SAIFULLAH,SANTA CLARA,14,12,,9,37,saifullah
SAFEWAY INC,MILL VALLEY,,618,,8,34,safeway inc
TUONG D. DO,SAN FRANCISCO,,25,,12,58,do
KATHERINE K. STRELKOFF,SAN FRANCISCO,34,89,,4,23,strelkoff
MICHAEL J. MULLIGAN,MOUNTAIN VIEW,28,14,,10,43,mulligan
CAROL L. LAMB,DANVILLE,29,43,,3,19,lamb
GAYATRI KHANNA,SAN FRANCISCO,20,24,,12,58,khanna
CATHARINE T. CLARK-SAYLES,GREENBRAE,35,157,259,4,23,clark-sayles
SYLVIA H. HOANG,FREMONT,19,19,,13,68,hoang
MARA ADELMAN,NAPA,,11,,8,34,adelman
DEVORAH E. BEN-ZEEV,WALNUT CREEK,23,80,,5,26,ben-zeev
MING-HSIEN WU,FREMONT,50,24,,11,50,wu
LISA A. BOWIE,SAN JOSE,,12,,10,43,bowie
SYDNEY C. CHOSLOVSKY,SAN JOSE,45,67,,16,90,choslovsky
GARFIELD BEACH CVS LLC,SAN JOSE,,12,,11,50,garfield beach cvs llc
WILLIAM S. ANDERECK,SAN FRANCISCO,40,49,,14,76,andereck
FUSHENG WANG,SAN FRANCISCO,31,12,,-2,4,wang
LEO SIFFLET,SAN JOSE,57,30,,10,43,sifflet
DAVID L. GRIFFITH,SAN JOSE,29,32,,13,68,griffith
FAITH WELLS,LOS ALTOS,26,69,,15,84,wells
HARVEY C. EDELMAN,SAN FRANCISCO,58,49,,16,90,edelman
SHEILA H. HUMPHRIES,LOS ALTOS,23,57,,16,90,humphries
DAVID M. WOODHOUSE,VACAVILLE,33,175,1018,-4,3,woodhouse
JEFF TAO,SANTA CLARA,,74,,15,84,tao
ELIZABETH K. ZIEMANN,SAN FRANCISCO,7,31,,13,68,ziemann
ROBERT J. BARTZ,SAUSALITO,33,62,,4,23,bartz
SUNG H. KNUEPPEL,REDWOOD CITY,,20,,11,50,knueppel
ERICA WEIRICH,LOS ALTOS,16,17,,10,43,weirich
SCOTT MATTHEWS,PALO ALTO,16,47,,14,76,matthews
KENNETH B. MAYBURY,SAN FRANCISCO,22,59,,14,76,maybury
ANURADHA REDDY,MOUNTAIN VIEW,23,18,,11,50,reddy
TINA W. LEUNG,LOS ALTOS,16,11,,9,37,leung
