fullname,city,yearspracticing,proc,pharmadollars,services_count,score,test,last
KATHLEEN L. HORAN,SANTA ROSA,38,Admin influenza virus vac,,23,-5,1,HORAN
GREGORY F. HOOPER,SUNNYVALE,26,Admin influenza virus vac,,16,-3,1,HOOPER
BUDD N. SHENKIN,OAKLAND,,Admin influenza virus vac,2665,13,-2,2,SHENKIN
KEVIN M. WONG,DALY CITY,21,Admin influenza virus vac,,65,1,2,WONG
TINA R. SINGH,FAIRFIELD,13,Admin influenza virus vac,,12,2,3,SINGH
JONATHAN L. BARASH,SAN FRANCISCO,,Admin influenza virus vac,,18,3,4,BARASH
JACKIE A. BOLDS,NEWARK,30,Admin influenza virus vac,,13,3,4,BOLDS
THOMAS E. STILES,SAINT HELENA,44,Admin influenza virus vac,,14,3,4,STILES
FUSHENG WANG,SAN FRANCISCO,31,Admin influenza virus vac,,12,3,4,WANG
NATHANIEL W. GLEASON,SAN FRANCISCO,6,Admin influenza virus vac,,12,3,4,GLEASON
DAVID M. WOODHOUSE,VACAVILLE,33,Admin influenza virus vac,1018,175,3,4,WOODHOUSE
LESLEY A. DEBRIER,NOVATO,13,Admin influenza virus vac,,13,4,7,DEBRIER
MICHELLE E. GUY,SAN FRANCISCO,14,Admin influenza virus vac,,17,4,7,GUY
PATRICK J. KEARNS,MOUNTAIN VIEW,37,Admin influenza virus vac,,22,4,7,KEARNS
JOCELIZA G. CHAUDHARY,SAN JOSE,20,Admin influenza virus vac,391,38,4,7,CHAUDHARY
LEIGH S. KIMBERG,SAN FRANCISCO,,Admin influenza virus vac,,20,4,7,KIMBERG
LILLIAN LEONG,WALNUT CREEK,10,Admin influenza virus vac,,14,4,7,LEONG
SHELDON ZITMAN,CUPERTINO,40,Admin influenza virus vac,365,18,5,11,ZITMAN
PATRICK W. PAU,SAN JOSE,48,Admin influenza virus vac,,21,5,11,PAU
JOLINE HEO,BRENTWOOD,7,Admin influenza virus vac,,25,5,11,HEO
LAURA DALTON,BENICIA,15,Admin influenza virus vac,,17,5,11,DALTON
LYNDA A. MACKIN,BELMONT,20,Admin influenza virus vac,,16,5,11,MACKIN
GARFIELD BEACH CVS LLC,SAN JOSE,,Admin influenza virus vac,,12,6,14,LLC
VIJAY THUKRAL,MILPITAS,38,Admin influenza virus vac,,28,6,14,THUKRAL
LARRY SLATER,SANTA ROSA,38,Admin influenza virus vac,,26,6,14,SLATER
LORI M. BELTRAN,OAKLAND,8,Admin influenza virus vac,,22,6,14,BELTRAN
IRWIN SHELUB,DALY CITY,,Admin influenza virus vac,,13,6,14,SHELUB
CARLOS E. ANDERSEN,CONCORD,39,Admin influenza virus vac,692,25,6,14,ANDERSEN
JEANETTE M. WILLIAMS,CALISTOGA,13,Admin influenza virus vac,,38,7,17,WILLIAMS
MIDORI NISHIMURA,MOUNTAIN VIEW,19,Admin influenza virus vac,,17,7,17,NISHIMURA
EVAN SEEVAK,OAKLAND,18,Admin influenza virus vac,,45,7,17,SEEVAK
MARIA ANDRAE-HAMMOND,ORINDA,7,Admin influenza virus vac,,31,7,17,ANDRAE-HAMMOND
KHALIQ A. SHAH,SANTA CLARA,21,Admin influenza virus vac,,13,7,17,SHAH
LAKSHMI MYNENI,MOUNTAIN VIEW,28,Admin influenza virus vac,,25,7,17,MYNENI
LISA A. BOWIE,SAN JOSE,,Admin influenza virus vac,,12,8,21,BOWIE
LEAH TESSLER,SAN FRANCISCO,19,Admin influenza virus vac,,36,8,21,TESSLER
MARK BELTRAN,BURLINGAME,25,Admin influenza virus vac,,43,8,21,BELTRAN
DHANU KAPOOR,SANTA CLARA,24,Admin influenza virus vac,,14,8,21,KAPOOR
ROBERT J. DEITZ,SAN FRANCISCO,,Admin influenza virus vac,,45,8,21,DEITZ
MARY JANE HUTCHINS,LOS GATOS,38,Admin influenza virus vac,,15,8,21,HUTCHINS
ZHI H. HUANG,OAKLAND,,Admin influenza virus vac,,70,8,21,HUANG
SEYMOUR GREENSTEIN,PLEASANT HILL,44,Admin influenza virus vac,269,88,8,21,GREENSTEIN
SYLVIA H. HOANG,FREMONT,19,Admin influenza virus vac,,19,8,21,HOANG
CAROL L. LAMB,DANVILLE,29,Admin influenza virus vac,,43,8,21,LAMB
NOB HILL GENERAL STORE INC,SAN JOSE,,Admin influenza virus vac,,18,8,21,INC
MARY J. MARTIN,SAN FRANCISCO,7,Admin influenza virus vac,,20,8,21,MARTIN
MICHAEL J. MULLIGAN,MOUNTAIN VIEW,28,Admin influenza virus vac,,14,9,28,MULLIGAN
XIAOGUANG HUANG,OAKLAND,32,Admin influenza virus vac,1010,538,9,28,HUANG
CATHARINE T. CLARK-SAYLES,GREENBRAE,35,Admin influenza virus vac,259,157,9,28,CLARK-SAYLES
VIKTOR NOVIKOV,DANVILLE,9,Admin influenza virus vac,,13,9,28,NOVIKOV
SIMIN SIDDIQ,FREMONT,37,Admin influenza virus vac,,26,9,28,SIDDIQ
ROBERT J. BARTZ,SAUSALITO,33,Admin influenza virus vac,,62,9,28,BARTZ
RICHARD M. GERBER,SAN FRANCISCO,34,Admin influenza virus vac,,76,9,28,GERBER
KATHERINE K. STRELKOFF,SAN FRANCISCO,34,Admin influenza virus vac,,89,9,28,STRELKOFF
LINDA C. LU,LOS GATOS,13,Admin influenza virus vac,,38,9,28,LU
GARY FUJIMOTO,PALO ALTO,35,Admin influenza virus vac,,36,10,34,FUJIMOTO
NICOLAS E. MAKHOUL,PLEASANT HILL,19,Admin influenza virus vac,,94,10,34,MAKHOUL
LUCRETIA SONDERER,NAPA,,Admin influenza virus vac,,14,10,34,SONDERER
ANURADHA REDDY,MOUNTAIN VIEW,23,Admin influenza virus vac,,18,10,34,REDDY
MARA ADELMAN,NAPA,,Admin influenza virus vac,,11,10,34,ADELMAN
ANJALI CHANANA,FAIRFIELD,23,Admin influenza virus vac,,15,10,34,CHANANA
DAVID W. MCCULLOUGH,SAN JOSE,55,Admin influenza virus vac,,22,10,34,MCCULLOUGH
DAVID M. TULLY-SMITH,SAN RAFAEL,40,Admin influenza virus vac,,24,10,34,TULLY-SMITH
ALVIN D. WONG,SAN FRANCISCO,28,Admin influenza virus vac,,61,10,34,WONG
PAUL KIM,DUBLIN,19,Admin influenza virus vac,,12,10,34,KIM
VIVEK JAIN,SANTA CLARA,16,Admin influenza virus vac,,13,10,34,JAIN
RONG SHEN,SAN FRANCISCO,15,Admin influenza virus vac,,45,10,34,SHEN
SUSAN C. GARAY,MENLO PARK,24,Admin influenza virus vac,,23,10,34,GARAY
TINA W. LEUNG,LOS ALTOS,16,Admin influenza virus vac,,11,10,34,LEUNG
RAMIRO ZARATE,NAPA,,Admin influenza virus vac,,11,10,34,ZARATE
SAYEMA A. SAIFULLAH,SANTA CLARA,14,Admin influenza virus vac,,12,10,34,SAIFULLAH
NIRMALA KANNAN,HAYWARD,33,Admin influenza virus vac,,97,10,34,KANNAN
RALEY'S PHARMACY,PETALUMA,,Admin influenza virus vac,,53,10,34,PHARMACY
KATHLEEN WISHART,NAPA,,Admin influenza virus vac,,13,10,34,WISHART
DEVORAH E. BEN-ZEEV,WALNUT CREEK,23,Admin influenza virus vac,,80,10,34,BEN-ZEEV
RALEYS,ANTIOCH,,Admin influenza virus vac,,28,10,34,
PAULINE SIAO,REDWOOD CITY,17,Admin influenza virus vac,,13,10,34,SIAO
JOSHUA RASSEN,SAN FRANCISCO,,Admin influenza virus vac,,33,10,34,RASSEN
KUTTANCHERI REMA,FREMONT,23,Admin influenza virus vac,,17,11,48,REMA
ERICA WEIRICH,LOS ALTOS,16,Admin influenza virus vac,,17,11,48,WEIRICH
ELIZABETH K. ZIEMANN,SAN FRANCISCO,7,Admin influenza virus vac,,31,11,48,ZIEMANN
ALPHAEUS M. WISE,WALNUT CREEK,12,Admin influenza virus vac,,29,11,48,WISE
PAUL JEMELIAN,SAN MATEO,24,Admin influenza virus vac,,20,11,48,JEMELIAN
LINDA H. FRESCO,MENLO PARK,20,Admin influenza virus vac,,31,11,48,FRESCO
SARAH N. TORRES,PALO ALTO,10,Admin influenza virus vac,,18,11,48,TORRES
MARGARET KRAY,OAKLAND,6,Admin influenza virus vac,,16,11,48,KRAY
CATHERINE BAKER,PALO ALTO,13,Admin influenza virus vac,,16,11,48,BAKER
RATNASOTHY S. RAJAH,SAN LEANDRO,49,Admin influenza virus vac,,68,11,48,RAJAH
SANDRA WONG,FREMONT,14,Admin influenza virus vac,,18,11,48,WONG
ARTHUR POLUSSA,LOS GATOS,35,Admin influenza virus vac,,27,11,48,POLUSSA
THOMAS MCDONALD,PALO ALTO,,Admin influenza virus vac,,16,11,48,MCDONALD
DAVID L. GRIFFITH,SAN JOSE,29,Admin influenza virus vac,,32,11,48,GRIFFITH
GAYATRI KHANNA,SAN FRANCISCO,20,Admin influenza virus vac,,24,11,48,KHANNA
CHARLES J. ANTONINI,DALY CITY,38,Admin influenza virus vac,340,94,11,48,ANTONINI
KAVERI PATEL,FREMONT,14,Admin influenza virus vac,,15,11,48,PATEL
SAFEWAY INC,MILL VALLEY,,Admin influenza virus vac,,618,12,58,INC
MICHAEL SU,SUNNYVALE,18,Admin influenza virus vac,,23,12,58,SU
CHIU J. YUAN,SAN JOSE,49,Admin influenza virus vac,,85,12,58,YUAN
BARBARA H. KOSTICK,FREMONT,43,Admin influenza virus vac,,39,12,58,KOSTICK
GAIL PYLE,PALO ALTO,18,Admin influenza virus vac,,23,12,58,PYLE
SHU WING CHAN,SAN FRANCISCO,46,Admin influenza virus vac,,70,12,58,CHAN
NELSON BUNIN,ALBANY,46,Admin influenza virus vac,,25,12,58,BUNIN
MARCO PAVESI,FREMONT,37,Admin influenza virus vac,,49,12,58,PAVESI
JULIA S. HOHMAN,WALNUT CREEK,14,Admin influenza virus vac,,37,12,58,HOHMAN
HANS YU,SAN FRANCISCO,25,Admin influenza virus vac,,292,12,58,YU
MING-HSIEN WU,FREMONT,50,Admin influenza virus vac,,24,12,58,WU
STEPHEN E. PRATT,SAN RAMON,,Admin influenza virus vac,,32,12,58,PRATT
TUONG D. DO,SAN FRANCISCO,,Admin influenza virus vac,,25,12,58,DO
ASHWANI K. BINDAL,FREMONT,37,Admin influenza virus vac,,79,12,58,BINDAL
SUNG H. KNUEPPEL,REDWOOD CITY,,Admin influenza virus vac,,20,12,58,KNUEPPEL
RICHARD HO,CASTRO VALLEY,40,Admin influenza virus vac,,45,12,58,HO
NATASHA AHMED,SAN JOSE,18,Admin influenza virus vac,,53,12,58,AHMED
